timestamp,station_id,temperature,humidity,pressure,wind_speed,wind_direction,precipitation
2024-02-01T00:00:00Z,WS001,-6.8,72,1023.5,3.8,210,0.0
2024-02-01T00:00:00Z,WS002,-7.5,74,1023.1,3.5,205,0.0
2024-02-01T00:00:00Z,WS003,-6.2,70,1023.8,4.2,215,0.0
2024-02-01T00:00:00Z,WS004,-9.8,78,1019.5,4.8,225,0.0
2024-02-01T00:00:00Z,WS005,-19.2,60,1031.2,1.8,110,0.0
2024-02-05T12:00:00Z,WS001,-2.5,68,1018.2,6.5,280,0.5
2024-02-05T12:00:00Z,WS002,-3.2,70,1017.8,6.0,275,0.8
2024-02-05T12:00:00Z,WS003,-1.8,66,1018.5,7.0,285,0.3
2024-02-05T12:00:00Z,WS004,-5.5,75,1012.5,8.2,300,1.8
2024-02-05T12:00:00Z,WS005,-15.8,52,1025.8,2.5,130,0.0
2024-02-10T08:00:00Z,WS001,-12.2,82,1030.5,2.0,90,0.0
2024-02-10T08:00:00Z,WS002,-13.0,84,1030.1,1.8,85,0.0
2024-02-10T08:00:00Z,WS003,-11.5,80,1030.8,2.3,95,0.0
2024-02-10T08:00:00Z,WS004,-15.8,86,1025.5,1.2,70,0.0
2024-02-10T08:00:00Z,WS005,-28.5,68,1038.2,0.5,45,0.0
2024-02-14T15:00:00Z,WS001,1.2,55,1015.2,5.5,250,0.0
2024-02-14T15:00:00Z,WS002,0.5,58,1014.8,5.0,245,0.0
2024-02-14T15:00:00Z,WS003,1.8,52,1015.5,6.0,255,0.0
2024-02-14T15:00:00Z,WS004,-2.2,62,1010.5,6.8,270,0.2
2024-02-14T15:00:00Z,WS005,-10.5,48,1023.5,3.2,160,0.0
2024-02-20T20:00:00Z,WS001,-4.5,78,1025.8,3.2,180,0.2
2024-02-20T20:00:00Z,WS002,-5.2,80,1025.5,3.0,175,0.3
2024-02-20T20:00:00Z,WS003,-3.8,76,1026.2,3.5,185,0.1
2024-02-20T20:00:00Z,WS004,-7.5,82,1020.8,4.0,195,0.8
2024-02-20T20:00:00Z,WS005,-18.2,65,1032.5,1.2,100,0.0
2024-02-25T10:00:00Z,WS001,2.5,62,1012.5,7.2,295,1.5
2024-02-25T10:00:00Z,WS002,1.8,65,1012.0,6.8,290,1.8
2024-02-25T10:00:00Z,WS003,3.2,60,1013.0,7.8,300,1.2
2024-02-25T10:00:00Z,WS004,0.2,70,1006.5,9.5,320,4.5
2024-02-25T10:00:00Z,WS005,-8.5,55,1020.2,4.0,170,0.2
2024-02-28T23:00:00Z,WS001,-1.8,70,1018.5,4.5,220,0.0
2024-02-28T23:00:00Z,WS002,-2.5,72,1018.0,4.2,215,0.0
2024-02-28T23:00:00Z,WS003,-1.2,68,1019.0,5.0,225,0.0
2024-02-28T23:00:00Z,WS004,-4.8,75,1013.5,5.5,240,0.1
2024-02-28T23:00:00Z,WS005,-15.5,58,1028.5,2.0,140,0.0
