timestamp,station_id,temperature,humidity,pressure,wind_speed,wind_direction,precipitation
2024-01-01T00:00:00Z,WS001,-8.5,78,1025.3,3.2,180,0.0
2024-01-01T00:00:00Z,WS002,-9.1,80,1024.8,2.8,175,0.0
2024-01-01T00:00:00Z,WS003,-7.8,75,1025.1,4.1,190,0.0
2024-01-01T00:00:00Z,WS004,-12.3,82,1018.5,5.5,220,0.2
2024-01-01T00:00:00Z,WS005,-22.5,65,1032.1,1.2,90,0.0
2024-01-01T01:00:00Z,WS001,-9.2,79,1025.1,3.5,182,0.0
2024-01-01T01:00:00Z,WS002,-9.8,81,1024.5,3.0,178,0.0
2024-01-01T01:00:00Z,WS003,-8.3,76,1024.9,4.3,188,0.0
2024-01-01T01:00:00Z,WS004,-13.1,83,1018.2,5.8,225,0.3
2024-01-01T01:00:00Z,WS005,-23.2,64,1032.0,1.0,85,0.0
2024-01-01T02:00:00Z,WS001,-9.8,80,1024.8,3.8,185,0.0
2024-01-01T02:00:00Z,WS002,-10.2,82,1024.2,3.2,180,0.0
2024-01-01T02:00:00Z,WS003,-8.9,77,1024.6,4.5,186,0.0
2024-01-01T02:00:00Z,WS004,-13.8,84,1017.9,6.1,228,0.5
2024-01-01T02:00:00Z,WS005,-24.1,63,1031.8,0.8,80,0.0
2024-01-15T12:00:00Z,WS001,-5.2,65,1020.5,5.5,270,0.0
2024-01-15T12:00:00Z,WS002,-6.1,68,1020.1,4.8,265,0.0
2024-01-15T12:00:00Z,WS003,-4.5,62,1020.8,6.2,275,0.0
2024-01-15T12:00:00Z,WS004,-8.5,72,1015.3,7.2,290,1.2
2024-01-15T12:00:00Z,WS005,-18.3,55,1028.5,2.1,120,0.0
2024-01-15T13:00:00Z,WS001,-4.8,64,1020.2,5.8,272,0.0
2024-01-15T13:00:00Z,WS002,-5.7,67,1019.8,5.1,268,0.0
2024-01-15T13:00:00Z,WS003,-4.1,61,1020.5,6.5,278,0.0
2024-01-15T13:00:00Z,WS004,-8.1,71,1015.0,7.5,292,1.5
2024-01-15T13:00:00Z,WS005,-17.8,54,1028.2,2.3,125,0.0
2024-01-20T06:00:00Z,WS001,-15.5,85,1035.2,1.2,45,0.0
2024-01-20T06:00:00Z,WS002,-16.2,87,1034.8,1.0,40,0.0
2024-01-20T06:00:00Z,WS003,-14.8,83,1035.5,1.5,50,0.0
2024-01-20T06:00:00Z,WS004,-18.5,88,1030.1,0.5,30,0.0
2024-01-20T06:00:00Z,WS005,-32.1,70,1042.5,0.2,0,0.0
2024-01-25T18:00:00Z,WS001,-3.2,92,1008.5,8.5,315,2.5
2024-01-25T18:00:00Z,WS002,-3.8,94,1008.1,7.8,310,3.0
2024-01-25T18:00:00Z,WS003,-2.5,90,1008.8,9.2,320,2.2
2024-01-25T18:00:00Z,WS004,-5.5,95,1002.5,10.5,330,5.5
2024-01-25T18:00:00Z,WS005,-12.5,75,1020.8,3.5,180,0.5
2024-01-31T23:00:00Z,WS001,-7.2,75,1022.1,4.2,200,0.0
2024-01-31T23:00:00Z,WS002,-7.8,77,1021.8,3.8,195,0.0
2024-01-31T23:00:00Z,WS003,-6.5,73,1022.5,4.8,205,0.0
2024-01-31T23:00:00Z,WS004,-10.2,80,1018.2,5.2,215,0.1
2024-01-31T23:00:00Z,WS005,-20.5,62,1030.5,1.5,100,0.0
